City,Date,Temperature
Gdańsk,1-28-2021,-1.5
Gdańsk,1-29-2021,-1.1
Gdańsk,1-30-2021,-0.7
Gdańsk,1-31-2021,-1.7
Gorzów Wielkopolski,1-1-2021,-0.9
Gorzów Wielkopolski,1-2-2021,-1.3
Gorzów Wielkopolski,1-3-2021,0.4
Gorzów Wielkopolski,1-4-2021,0.2
Gorzów Wielkopolski,1-5-2021,1.6
Gorzów Wielkopolski,1-6-2021,0
Gorzów Wielkopolski,1-7-2021,0.3
Gorzów Wielkopolski,1-8-2021,1
Gorzów Wielkopolski,1-9-2021,0.7
Gorzów Wielkopolski,1-10-2021,-0.4
Gorzów Wielkopolski,1-11-2021,0.1
Gorzów Wielkopolski,1-12-2021,0.5
Gorzów Wielkopolski,1-13-2021,1.3
Gorzów Wielkopolski,1-14-2021,0
Gorzów Wielkopolski,1-15-2021,-2.1
Gorzów Wielkopolski,1-16-2021,-2.9
Gorzów Wielkopolski,1-17-2021,-10.1
Gorzów Wielkopolski,1-18-2021,-4
Gorzów Wielkopolski,1-19-2021,0.7
Gorzów Wielkopolski,1-20-2021,6.3
Gorzów Wielkopolski,1-21-2021,7
Gorzów Wielkopolski,1-22-2021,6
Gorzów Wielkopolski,1-23-2021,0.6
Gorzów Wielkopolski,1-24-2021,0.2
Gorzów Wielkopolski,1-25-2021,0.9
Gorzów Wielkopolski,1-26-2021,1.1
Gorzów Wielkopolski,1-27-2021,1
Gorzów Wielkopolski,1-28-2021,-1.1
Gorzów Wielkopolski,1-29-2021,-1.5
Gorzów Wielkopolski,1-30-2021,-3.8
Gorzów Wielkopolski,1-31-2021,-3.6
Katowice,1-1-2021,-1.2
Katowice,1-2-2021,2.8
Katowice,1-3-2021,0.6
Katowice,1-4-2021,2.9
Katowice,1-5-2021,0.5
Katowice,1-6-2021,0.6
Katowice,1-7-2021,-0.3
Katowice,1-8-2021,-0.7
Katowice,1-9-2021,-0.3
Katowice,1-10-2021,-0.8
Katowice,1-11-2021,-3.7
Katowice,1-12-2021,-0.9
Katowice,1-13-2021,-0.8
Katowice,1-14-2021,-1.3
Katowice,1-15-2021,-4.8
Katowice,1-16-2021,-5.5
Katowice,1-17-2021,-10.5
Katowice,1-18-2021,-8.3
Katowice,1-19-2021,0.7
Katowice,1-20-2021,4.1
Katowice,1-21-2021,4.3
Katowice,1-22-2021,6.2
Katowice,1-23-2021,5.3
Katowice,1-24-2021,1.5
Katowice,1-25-2021,0
Katowice,1-26-2021,-1.5
Katowice,1-27-2021,-1.3
Katowice,1-28-2021,1.3
Katowice,1-29-2021,-1.8
Katowice,1-30-2021,-2.3
Katowice,1-31-2021,-6.7
Kielce,1-1-2021,-1.9
Kielce,1-2-2021,3.8
Kielce,1-3-2021,3.8
Kielce,1-4-2021,0.4
Kielce,1-5-2021,3.9
Kielce,1-6-2021,2.4
Kielce,1-7-2021,-0.2
Kielce,1-8-2021,-1.6
Kielce,1-9-2021,-0.2
Kielce,1-10-2021,-0.6
Kielce,1-11-2021,-4
Kielce,1-12-2021,0.8
Kielce,1-13-2021,-1.1
Kielce,1-14-2021,-1.8
Kielce,1-15-2021,-5.5
Kielce,1-16-2021,-5.8
Kielce,1-17-2021,-11.1
Kielce,1-18-2021,-16
Kielce,1-19-2021,-2.5
Kielce,1-20-2021,0.6
Kielce,1-21-2021,1.2
Kielce,1-22-2021,4.2
Kielce,1-23-2021,5.5
Kielce,1-24-2021,1.1
Kielce,1-25-2021,-0.1
Kielce,1-26-2021,-0.8
Kielce,1-27-2021,-1.3
Kielce,1-28-2021,-1.1
Kielce,1-29-2021,-5.1
Kielce,1-30-2021,-2.9
Kielce,1-31-2021,-9.2
Kraków,1-1-2021,-0.7
Kraków,1-2-2021,1.6
Kraków,1-3-2021,1.9
Kraków,1-4-2021,1.3
Kraków,1-5-2021,1.2
Kraków,1-6-2021,1.3
Kraków,1-7-2021,0.3
Kraków,1-8-2021,-1.9
Kraków,1-9-2021,-0.9
Kraków,1-10-2021,-2.2
Kraków,1-11-2021,-3.2
Kraków,1-12-2021,1.3
Kraków,1-13-2021,-0.5
Kraków,1-14-2021,-1
Kraków,1-15-2021,-5.1
Kraków,1-16-2021,-5.6
Kraków,1-17-2021,-10.1
Kraków,1-18-2021,-11.3
Kraków,1-19-2021,0.8
Kraków,1-20-2021,2.3
Kraków,1-21-2021,0.5
Kraków,1-22-2021,4
Kraków,1-23-2021,6.3
Kraków,1-24-2021,2.3
Kraków,1-25-2021,0.4
Kraków,1-26-2021,-1.7
Kraków,1-27-2021,-1
Kraków,1-28-2021,0.9
Kraków,1-29-2021,-1.1
Kraków,1-30-2021,-1.9
Kraków,1-31-2021,-6.8
Łódź,1-1-2021,-1.6
Łódź,1-2-2021,0.9
Łódź,1-3-2021,1.5
Łódź,1-4-2021,2.2
Łódź,1-5-2021,1.1
Łódź,1-6-2021,0.7
Łódź,1-7-2021,-0.2
Łódź,1-8-2021,-5.4
Łódź,1-9-2021,-0.7
Łódź,1-10-2021,-0.5
Łódź,1-11-2021,-3
Łódź,1-12-2021,-1.1
Łódź,1-13-2021,-0.2
Łódź,1-14-2021,-1.8
Łódź,1-15-2021,-3.3
Łódź,1-16-2021,-4.8
Łódź,1-17-2021,-16.4
Łódź,1-18-2021,-12.3
Łódź,1-19-2021,0.9
Łódź,1-20-2021,3.5
Łódź,1-21-2021,4.2
Łódź,1-22-2021,7.5
Łódź,1-23-2021,7.6
Łódź,1-24-2021,0.4
Łódź,1-25-2021,0.4
Łódź,1-26-2021,0.6
Łódź,1-27-2021,-0.2
Łódź,1-28-2021,0.1
Łódź,1-29-2021,-7
Łódź,1-30-2021,-2.2
Łódź,1-31-2021,-9.7
Lublin,1-1-2021,-0.2
Lublin,1-2-2021,2.9
Lublin,1-3-2021,0
Lublin,1-4-2021,3.3
Lublin,1-5-2021,1.4
Lublin,1-6-2021,2.7
Lublin,1-7-2021,0.5
Lublin,1-8-2021,-0.6
Lublin,1-9-2021,0
Lublin,1-10-2021,-0.6
Lublin,1-11-2021,-3.4
Lublin,1-12-2021,0.1
Lublin,1-13-2021,-1.3
Lublin,1-14-2021,-4.6
Lublin,1-15-2021,-5.9
Lublin,1-16-2021,-5
Lublin,1-17-2021,-11.5
Lublin,1-18-2021,-18.4
Lublin,1-19-2021,-5.1
Lublin,1-20-2021,1.1
Lublin,1-21-2021,2.4
Lublin,1-22-2021,5.4
Lublin,1-23-2021,6.1
Lublin,1-24-2021,2
Lublin,1-25-2021,-0.8
Lublin,1-26-2021,-0.3
Lublin,1-27-2021,-1.6
Lublin,1-28-2021,-1.3
Lublin,1-29-2021,-4.4
Lublin,1-30-2021,-3.7
Lublin,1-31-2021,-10.4
Olsztyn,1-1-2021,-1.8
Olsztyn,1-2-2021,-0.6
Olsztyn,1-3-2021,0.2
Olsztyn,1-4-2021,-0.6
Olsztyn,1-5-2021,0.6
Olsztyn,1-6-2021,0.6
Olsztyn,1-7-2021,0
Olsztyn,1-8-2021,0.1
Olsztyn,1-9-2021,-2
Olsztyn,1-10-2021,0.2
Olsztyn,1-11-2021,-0.6
Olsztyn,1-12-2021,-1.1
Olsztyn,1-13-2021,-1.2
Olsztyn,1-14-2021,-4.4
Olsztyn,1-15-2021,-10.6
Olsztyn,1-16-2021,-10.4
Olsztyn,1-17-2021,-18.2
Olsztyn,1-18-2021,-12
Olsztyn,1-19-2021,-7.5
Olsztyn,1-20-2021,2.1
Olsztyn,1-21-2021,3.8
Olsztyn,1-22-2021,4.8
Olsztyn,1-23-2021,5
Olsztyn,1-24-2021,0.6
Olsztyn,1-25-2021,0.8
Olsztyn,1-26-2021,0.5
Olsztyn,1-27-2021,0.3
Olsztyn,1-28-2021,-1.3
Olsztyn,1-29-2021,-2.2
Olsztyn,1-30-2021,-1.8
Olsztyn,1-31-2021,-2.2
Opole,1-1-2021,0.1
Opole,1-2-2021,1.1
Opole,1-3-2021,1.8
Opole,1-4-2021,2.7
Opole,1-5-2021,0.2
Opole,1-6-2021,1.1
Opole,1-7-2021,0.7
Opole,1-8-2021,0.9
Opole,1-9-2021,0
Opole,1-10-2021,0.5
Opole,1-11-2021,-1.4
Opole,1-12-2021,-1
Opole,1-13-2021,0.9
Opole,1-14-2021,-0.6
Opole,1-15-2021,-3.5
Opole,1-16-2021,-3.7
Opole,1-17-2021,-11.3
Opole,1-18-2021,-6.3
Opole,1-19-2021,1.7
Opole,1-20-2021,4.7
Opole,1-21-2021,5
Opole,1-22-2021,8.3
Opole,1-23-2021,5.3
Opole,1-24-2021,2.1
Opole,1-25-2021,0.6
Opole,1-26-2021,0.4
Opole,1-27-2021,0.6
Opole,1-28-2021,1.1
Opole,1-29-2021,-0.7
Opole,1-30-2021,-1.6
Opole,1-31-2021,-5.6
Poznań,1-1-2021,-1.2
Poznań,1-2-2021,-0.3
Poznań,1-3-2021,0.9
Poznań,1-4-2021,0.9
Poznań,1-5-2021,0.4
Poznań,1-6-2021,0.5
Poznań,1-7-2021,0.4
Poznań,1-8-2021,0.8
Poznań,1-9-2021,0.2
Poznań,1-10-2021,0.3
Poznań,1-11-2021,-0.1
Poznań,1-12-2021,-0.1
Poznań,1-13-2021,0.6
Poznań,1-14-2021,-0.1
Poznań,1-15-2021,-2.2
Poznań,1-16-2021,-2.7
Poznań,1-17-2021,-12
Poznań,1-18-2021,-8.1
Poznań,1-19-2021,1.1
Poznań,1-20-2021,5
Poznań,1-21-2021,6.3
Poznań,1-22-2021,9
Poznań,1-23-2021,1
Poznań,1-24-2021,0.5
Poznań,1-25-2021,0.7
Poznań,1-26-2021,0.7
Poznań,1-27-2021,1
Poznań,1-28-2021,-1.7
Poznań,1-29-2021,-1.9
Poznań,1-30-2021,-3.9
Poznań,1-31-2021,-3.6
Rzeszów,1-1-2021,1.5
Rzeszów,1-2-2021,5.6
Rzeszów,1-3-2021,0.5
Rzeszów,1-4-2021,3.7
Rzeszów,1-5-2021,3.2
Rzeszów,1-6-2021,4.1
Rzeszów,1-7-2021,0
Rzeszów,1-8-2021,0.4
Rzeszów,1-9-2021,0.3
Rzeszów,1-10-2021,0
Rzeszów,1-11-2021,-0.9
Rzeszów,1-12-2021,0.8
Rzeszów,1-13-2021,-0.8
Rzeszów,1-14-2021,-1.5
Rzeszów,1-15-2021,-5.8
Rzeszów,1-16-2021,-4.5
Rzeszów,1-17-2021,-9.8
Rzeszów,1-18-2021,-14.3
Rzeszów,1-19-2021,-4.1
Rzeszów,1-20-2021,1.4
Rzeszów,1-21-2021,4.6
Rzeszów,1-22-2021,7.1
Rzeszów,1-23-2021,9.1
Rzeszów,1-24-2021,2.3
Rzeszów,1-25-2021,-0.2
Rzeszów,1-26-2021,-0.7
Rzeszów,1-27-2021,-1.4
Rzeszów,1-28-2021,-0.4
Rzeszów,1-29-2021,-3.5
Rzeszów,1-30-2021,-2.7
Rzeszów,1-31-2021,-8.1
Szczecin,1-1-2021,1.1
Szczecin,1-2-2021,2
Szczecin,1-3-2021,0.6
Szczecin,1-4-2021,1
Szczecin,1-5-2021,3.2
Szczecin,1-6-2021,1.2
Szczecin,1-7-2021,1.1
Szczecin,1-8-2021,1.3
Szczecin,1-9-2021,2.3
Szczecin,1-10-2021,0.5
Szczecin,1-11-2021,1.1
Szczecin,1-12-2021,1.4
Szczecin,1-13-2021,1.8
Szczecin,1-14-2021,1.8
Szczecin,1-15-2021,-2.1
Szczecin,1-16-2021,-1.9
Szczecin,1-17-2021,-8.5
Szczecin,1-18-2021,-2.4
Szczecin,1-19-2021,1.4
Szczecin,1-20-2021,7.6
Szczecin,1-21-2021,9.2
Szczecin,1-22-2021,4.8
Szczecin,1-23-2021,1
Szczecin,1-24-2021,0.5
Szczecin,1-25-2021,1
Szczecin,1-26-2021,1.3
Szczecin,1-27-2021,0.1
Szczecin,1-28-2021,-1.3
Szczecin,1-29-2021,-0.8
Szczecin,1-30-2021,-1.1
Szczecin,1-31-2021,-1.4
Toruń,1-1-2021,-1
Toruń,1-2-2021,-0.2
Toruń,1-3-2021,1.1
Toruń,1-4-2021,0.3
Toruń,1-5-2021,0.3
Toruń,1-6-2021,0.8
Toruń,1-7-2021,0.2
Toruń,1-8-2021,0.1
Toruń,1-9-2021,-0.1
Toruń,1-10-2021,0.4
Toruń,1-11-2021,0.4
Toruń,1-12-2021,0
Toruń,1-13-2021,0.4
Toruń,1-14-2021,-3.2
Toruń,1-15-2021,-4.9
Toruń,1-16-2021,-4.2
Toruń,1-17-2021,-16.8
Toruń,1-18-2021,-12.9
Toruń,1-19-2021,-2.1
Toruń,1-20-2021,2.9
Toruń,1-21-2021,4
Toruń,1-22-2021,6.7
Toruń,1-23-2021,5.3
Toruń,1-24-2021,0.3
Toruń,1-25-2021,0.6
Toruń,1-26-2021,0.3
Toruń,1-27-2021,1.3
Toruń,1-28-2021,-0.4
Toruń,1-29-2021,-0.6
Toruń,1-30-2021,-2.5
Toruń,1-31-2021,-2.7
Warszawa,1-1-2021,-0.9
Warszawa,1-2-2021,1.5
Warszawa,1-3-2021,1.1
Warszawa,1-4-2021,3.4
Warszawa,1-5-2021,3.1
Warszawa,1-6-2021,0.7
Warszawa,1-7-2021,0.6
Warszawa,1-8-2021,0.5
Warszawa,1-9-2021,0
Warszawa,1-10-2021,0.2
Warszawa,1-11-2021,-1
Warszawa,1-12-2021,0.3
Warszawa,1-13-2021,0
Warszawa,1-14-2021,-2.9
Warszawa,1-15-2021,-6.7
Warszawa,1-16-2021,-3.7
Warszawa,1-17-2021,-15.1
Warszawa,1-18-2021,-15.3
Warszawa,1-19-2021,-5.7
Warszawa,1-20-2021,2.5
Warszawa,1-21-2021,2.8
Warszawa,1-22-2021,5
Warszawa,1-23-2021,5.9
Warszawa,1-24-2021,0.8
Warszawa,1-25-2021,0.1
Warszawa,1-26-2021,1
Warszawa,1-27-2021,0.4
Warszawa,1-28-2021,0.3
Warszawa,1-29-2021,-1.3
Warszawa,1-30-2021,-1.6
Warszawa,1-31-2021,-6.6
Wrocław,1-1-2021,-0.4
Wrocław,1-2-2021,0.5
Wrocław,1-3-2021,1.3
Wrocław,1-4-2021,1.2
Wrocław,1-5-2021,-0.5
Wrocław,1-6-2021,-0.3
Wrocław,1-7-2021,-1.8
Wrocław,1-8-2021,-2.2
Wrocław,1-9-2021,-0.8
Wrocław,1-10-2021,-0.7
Wrocław,1-11-2021,-3.6
Wrocław,1-12-2021,1.7
Wrocław,1-13-2021,1.1
Wrocław,1-14-2021,-1.7
Wrocław,1-15-2021,-2.5
Wrocław,1-16-2021,-5.1
Wrocław,1-17-2021,-8.7
Wrocław,1-18-2021,-4.7
Wrocław,1-19-2021,2.2
Wrocław,1-20-2021,6.6
Wrocław,1-21-2021,7.3
Wrocław,1-22-2021,8.1
Wrocław,1-23-2021,0.3
Wrocław,1-24-2021,1.1
Wrocław,1-25-2021,-1.3
Wrocław,1-26-2021,-1.2
Wrocław,1-27-2021,-3.7
Wrocław,1-28-2021,0.4
Wrocław,1-29-2021,-1.1
Wrocław,1-30-2021,-2.8
Wrocław,1-31-2021,-7.9
Białystok,2-1-2021,-10.5
Białystok,2-2-2021,-0.6
Białystok,2-3-2021,0.3
Białystok,2-4-2021,-4.9
Białystok,2-5-2021,-11.4
Białystok,2-6-2021,-15.6
Białystok,2-7-2021,-15.7
Białystok,2-8-2021,-9.6
Białystok,2-9-2021,-8.1
Białystok,2-10-2021,-7.7
Białystok,2-11-2021,-12.2
Białystok,2-12-2021,-11.3
Białystok,2-13-2021,-1.4
Białystok,2-14-2021,-0.7
Białystok,2-15-2021,-5.1
Białystok,2-16-2021,-5.6
Białystok,2-17-2021,-6.3
Białystok,2-18-2021,-13.2
Białystok,2-19-2021,-4.7
Białystok,2-20-2021,1.1
Białystok,2-21-2021,-0.2
Białystok,2-22-2021,0.1
Białystok,2-23-2021,4.6
Białystok,2-24-2021,3.4
Białystok,2-25-2021,6
Białystok,2-26-2021,4.5
Białystok,2-27-2021,3.9
Białystok,2-28-2021,3.1
Gdańsk,2-1-2021,-5.5
Gdańsk,2-2-2021,-1.1
Gdańsk,2-3-2021,0.5
Gdańsk,2-4-2021,0.5
Gdańsk,2-5-2021,-2.2
Gdańsk,2-6-2021,-9
Gdańsk,2-7-2021,-9.7
Gdańsk,2-8-2021,-7.5
Gdańsk,2-9-2021,-7.5
Gdańsk,2-10-2021,-8.8
Gdańsk,2-11-2021,-7.4
Gdańsk,2-12-2021,-2.1
Gdańsk,2-13-2021,0.2
Gdańsk,2-14-2021,0.2
Gdańsk,2-15-2021,-3.5
Gdańsk,2-16-2021,-2.4
Gdańsk,2-17-2021,-1.9
Gdańsk,2-18-2021,-8.3
Gdańsk,2-19-2021,0.3
Gdańsk,2-20-2021,1.5
Gdańsk,2-21-2021,2.5
Gdańsk,2-22-2021,1.1
Gdańsk,2-23-2021,3
Gdańsk,2-24-2021,4.2
Gdańsk,2-25-2021,7.4
Gdańsk,2-26-2021,5.2
Gdańsk,2-27-2021,3.2
Gdańsk,2-28-2021,4
Gorzów Wielkopolski,2-1-2021,-2.1
Gorzów Wielkopolski,2-2-2021,0.5
Gorzów Wielkopolski,2-3-2021,1.4
Gorzów Wielkopolski,2-4-2021,-0.2
Gorzów Wielkopolski,2-5-2021,-0.9
Gorzów Wielkopolski,2-6-2021,-4.4
Gorzów Wielkopolski,2-7-2021,-7
Gorzów Wielkopolski,2-8-2021,-10
Gorzów Wielkopolski,2-9-2021,-7.5
Gorzów Wielkopolski,2-10-2021,-7.5
Gorzów Wielkopolski,2-11-2021,-4.9
Gorzów Wielkopolski,2-12-2021,-4
Gorzów Wielkopolski,2-13-2021,-2.9
Gorzów Wielkopolski,2-14-2021,-5.5
Gorzów Wielkopolski,2-15-2021,-1.3
Gorzów Wielkopolski,2-16-2021,0.5
Gorzów Wielkopolski,2-17-2021,4.6
Gorzów Wielkopolski,2-18-2021,4
Gorzów Wielkopolski,2-19-2021,6
Gorzów Wielkopolski,2-20-2021,9.3
Gorzów Wielkopolski,2-21-2021,11.1
Gorzów Wielkopolski,2-22-2021,8.9
Gorzów Wielkopolski,2-23-2021,12.1
Gorzów Wielkopolski,2-24-2021,12.6
Gorzów Wielkopolski,2-25-2021,15.5
Gorzów Wielkopolski,2-26-2021,7.6
Gorzów Wielkopolski,2-27-2021,7.2
Gorzów Wielkopolski,2-28-2021,4
Katowice,2-1-2021,-4.5
Katowice,2-2-2021,2.2
Katowice,2-3-2021,4.2
Katowice,2-4-2021,1.6
Katowice,2-5-2021,-0.7
Katowice,2-6-2021,-1.8
Katowice,2-7-2021,-7.2
Katowice,2-8-2021,-5.5
Katowice,2-9-2021,-5
Katowice,2-10-2021,-5.7
Katowice,2-11-2021,-10.1
Katowice,2-12-2021,-9.1
Katowice,2-13-2021,-3.2
Katowice,2-14-2021,-5
Katowice,2-15-2021,-5.7
Katowice,2-16-2021,-0.7
Katowice,2-17-2021,3
Katowice,2-18-2021,2.6
Katowice,2-19-2021,1.6
Katowice,2-20-2021,4.6
Katowice,2-21-2021,4.7
Katowice,2-22-2021,7.2
Katowice,2-23-2021,7.2
Katowice,2-24-2021,11
Katowice,2-25-2021,12.5
Katowice,2-26-2021,10.3
Katowice,2-27-2021,5.4
Katowice,2-28-2021,6.6
Kielce,2-1-2021,-4.4
Kielce,2-2-2021,-1.1
Kielce,2-3-2021,3.3
Kielce,2-4-2021,-1
Kielce,2-5-2021,-2.4
Kielce,2-6-2021,-4.1
Kielce,2-7-2021,-8.9
Kielce,2-8-2021,-8.2
Kielce,2-9-2021,-4.8
Kielce,2-10-2021,-4.6
Kielce,2-11-2021,-12
Kielce,2-12-2021,-10.5
Kielce,2-13-2021,-2.1
Kielce,2-14-2021,-5.4
Kielce,2-15-2021,-6.9
Kielce,2-16-2021,-3.4
Kielce,2-17-2021,0.6
Kielce,2-18-2021,-4.5
Kielce,2-19-2021,0.3
Kielce,2-20-2021,2.1
Kielce,2-21-2021,3.2
Kielce,2-22-2021,2.7
Kielce,2-23-2021,4.2
Kielce,2-24-2021,7.1
Kielce,2-25-2021,7.8
Kielce,2-26-2021,8.4
Kielce,2-27-2021,5.1
Kielce,2-28-2021,4
Kraków,2-1-2021,-4.1
Kraków,2-2-2021,1.1
Kraków,2-3-2021,4.3
Kraków,2-4-2021,2.7
Kraków,2-5-2021,-0.8
Kraków,2-6-2021,-2.1
Kraków,2-7-2021,-7.5
Kraków,2-8-2021,-5.8
Kraków,2-9-2021,-3.6
Kraków,2-10-2021,-3.4
Kraków,2-11-2021,-10.4
Kraków,2-12-2021,-10.1
Kraków,2-13-2021,-3.8
Kraków,2-14-2021,-5.3
Kraków,2-15-2021,-4.8
Kraków,2-16-2021,-1.8
Kraków,2-17-2021,2.1
Kraków,2-18-2021,-0.2
Kraków,2-19-2021,2.4
Kraków,2-20-2021,3.4
Kraków,2-21-2021,5.1
Kraków,2-22-2021,5.5
Kraków,2-23-2021,5.9
Kraków,2-24-2021,8.9
Kraków,2-25-2021,10.8
Kraków,2-26-2021,13.4
Kraków,2-27-2021,4.6
Kraków,2-28-2021,4.2
Łódź,2-1-2021,-5.6
Łódź,2-2-2021,1.9
Łódź,2-3-2021,4.7
Łódź,2-4-2021,-1.6
Łódź,2-5-2021,-2.3
Łódź,2-6-2021,-5.7
Łódź,2-7-2021,-9
Łódź,2-8-2021,-9
Łódź,2-9-2021,-7.6
Łódź,2-10-2021,-7.5
Łódź,2-11-2021,-12
Łódź,2-12-2021,-7.8
Łódź,2-13-2021,-1.8
Łódź,2-14-2021,-5.9
Łódź,2-15-2021,-7.4
Łódź,2-16-2021,-2.4
Łódź,2-17-2021,0.3
Łódź,2-18-2021,-1.7
Łódź,2-19-2021,2.1
Łódź,2-20-2021,4.5
Łódź,2-21-2021,6
Łódź,2-22-2021,4.8
Łódź,2-23-2021,5.9
Łódź,2-24-2021,7
Łódź,2-25-2021,9.4
Łódź,2-26-2021,5.3
Łódź,2-27-2021,5.5
Łódź,2-28-2021,3
Lublin,2-1-2021,-7.7
Lublin,2-2-2021,1.5
Lublin,2-3-2021,2.9
Lublin,2-4-2021,-1.8
Lublin,2-5-2021,-5.1
Lublin,2-6-2021,-8.4
Lublin,2-7-2021,-10.8
Lublin,2-8-2021,-9.4
Lublin,2-9-2021,-7
Lublin,2-10-2021,-5.3
Lublin,2-11-2021,-11.6
Lublin,2-12-2021,-11.3
Lublin,2-13-2021,-3.3
Lublin,2-14-2021,-2.6
Lublin,2-15-2021,-4.5
Lublin,2-16-2021,-4.6
Lublin,2-17-2021,-1
Lublin,2-18-2021,-10
Lublin,2-19-2021,0.5
Lublin,2-20-2021,0.5
Lublin,2-21-2021,4
Lublin,2-22-2021,2.8
Lublin,2-23-2021,2.1
Lublin,2-24-2021,7.4
Lublin,2-25-2021,7.5
Lublin,2-26-2021,5.4
Lublin,2-27-2021,4.4
Lublin,2-28-2021,3.3
Olsztyn,2-1-2021,-4
Olsztyn,2-2-2021,-0.9
Olsztyn,2-3-2021,0.1
Olsztyn,2-4-2021,-5.8
Olsztyn,2-5-2021,-6
Olsztyn,2-6-2021,-12.2
Olsztyn,2-7-2021,-13.3
Olsztyn,2-8-2021,-9.7
Olsztyn,2-9-2021,-8.6
Olsztyn,2-10-2021,-12.9
Olsztyn,2-11-2021,-12.2
Olsztyn,2-12-2021,-10.3
Olsztyn,2-13-2021,-1.2
Olsztyn,2-14-2021,-0.3
Olsztyn,2-15-2021,-1.8
Olsztyn,2-16-2021,-2.3
Olsztyn,2-17-2021,-1.8
Olsztyn,2-18-2021,-7
Olsztyn,2-19-2021,-3.1
Olsztyn,2-20-2021,2.2
Olsztyn,2-21-2021,4.1
Olsztyn,2-22-2021,4.6
Olsztyn,2-23-2021,6.4
Olsztyn,2-24-2021,8.8
Olsztyn,2-25-2021,10.5
Olsztyn,2-26-2021,5.6
Olsztyn,2-27-2021,2.7
Olsztyn,2-28-2021,2.9
Opole,2-1-2021,-3.9
Opole,2-2-2021,1.7
Opole,2-3-2021,5.5
Opole,2-4-2021,1.1
Opole,2-5-2021,0.4
Opole,2-6-2021,-1
Opole,2-7-2021,-7.3
Opole,2-8-2021,-7.3
Opole,2-9-2021,-6.8
Opole,2-10-2021,-7.1
Opole,2-11-2021,-9.7
Opole,2-12-2021,-9.6
Opole,2-13-2021,-3.8
Opole,2-14-2021,-6.1
Opole,2-15-2021,-6.6
Opole,2-16-2021,-0.1
Opole,2-17-2021,3.8
Opole,2-18-2021,3.6
Opole,2-19-2021,4.3
Opole,2-20-2021,6.5
Opole,2-21-2021,4.8
Opole,2-22-2021,7
Opole,2-23-2021,8.9
Opole,2-24-2021,13.6
Opole,2-25-2021,13.1
Opole,2-26-2021,6.7
Opole,2-27-2021,5.3
Opole,2-28-2021,7
Poznań,2-1-2021,-2.6
Poznań,2-2-2021,1.8
Poznań,2-3-2021,3.8
Poznań,2-4-2021,-0.4
Poznań,2-5-2021,-0.7
Poznań,2-6-2021,-4.2
Poznań,2-7-2021,-6.7
Poznań,2-8-2021,-9.7
Poznań,2-9-2021,-7.8
Poznań,2-10-2021,-9.1
Poznań,2-11-2021,-7.6
Poznań,2-12-2021,-3.6
Poznań,2-13-2021,-2.5
Poznań,2-14-2021,-4.8
Poznań,2-15-2021,-5.2
Poznań,2-16-2021,0.3
Poznań,2-17-2021,4.1
Poznań,2-18-2021,1.1
Poznań,2-19-2021,5
Poznań,2-20-2021,7.3
Poznań,2-21-2021,9.5
Poznań,2-22-2021,6.8
Poznań,2-23-2021,10.6
Poznań,2-24-2021,13.8
Poznań,2-25-2021,14.7
Poznań,2-26-2021,6.7
Poznań,2-27-2021,4.8
Poznań,2-28-2021,3.9
Rzeszów,2-1-2021,-2.4
Rzeszów,2-2-2021,2.2
Rzeszów,2-3-2021,3.4
Rzeszów,2-4-2021,0.2
